date,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8
2000-01-01,0.835628342461964,-0.5311858461842631,-0.2974457658848093,1.7645388930184904,-1.5726740650868891,0.11789238561839964,1.186564968817979,-0.9349483647131274
2000-02-01,0.9445317407471233,0.6434364770860077,1.1953502150270585,1.6252348978350215,-2.191642518390707,0.3168631745157396,0.5239292865978977,-1.2330228297349546
2000-03-01,0.20451063927577606,1.0235536355117762,0.9781778761425551,2.1367703813946917,-1.0367317712729047,-1.1545805130676878,0.8115412610247466,-0.5381356807040496
2000-04-01,0.38558041673420557,1.6755090372554737,-0.5009186534004014,1.5880943933159868,-0.0041193289588346005,-2.7646485228792175,1.4744092990548339,-0.47392688942119965
2000-05-01,1.3046686131339746,-0.4670206019582013,1.2788401408377101,1.9160967222415284,-0.47384881120919686,-1.4184005316394421,1.174024713621851,-0.6807735183305113
2000-06-01,2.431735394815104,-1.023959288923951,0.8639487679320137,1.1230198524263337,-2.267462862021989,-1.18957224456283,1.1198216544798807,-0.07104862659453892
2000-07-01,2.070064215232299,-1.1966541127855794,0.04020529289741881,0.9291447122060433,-3.108614305140775,-1.1940625669755587,0.7331555430236039,0.16130554581401246
2000-08-01,3.4103499552443086,-2.268143892835075,2.3541535647954843,0.21042894688571256,-3.348867004268806,-0.6923496008260611,1.1593074710239248,-0.3261886734266962
2000-09-01,3.418540656394403,-2.2747604882218915,2.6898341481642554,0.2502887348883635,-3.4334205929971833,-0.28741800067013434,-0.30505847468910874,0.8265334188480896
2000-10-01,3.312325681713343,-2.6978553927502515,1.2319783987760091,0.7363766026708889,-3.1417917280831675,-0.24202049537917902,1.2381988613739972,0.9175450706637475
2000-11-01,4.450893793293648,-4.0995052874769575,0.5309628245176238,2.850025820442582,-1.695990331070031,-0.34643396774190427,-0.6723226175884016,0.8111981169529485
2000-12-01,5.269466635887127,-3.303263790097604,1.0792021117569877,1.5395901046560658,-2.026572081080687,-1.799704270644963,1.066844841339946,2.1664347012948912
2001-01-01,5.101964135854094,-4.715131926367101,1.8946843012829713,1.242576587201687,-5.192048688228518,-3.8769570779411744,0.2907285307930597,2.8274858254360264
2001-02-01,4.383333240558788,-4.389443722035499,2.044875714841365,1.461141650621716,-4.474734095948503,-4.674623001905618,0.049810061908025866,1.920505397659574
2001-03-01,4.5572860813360165,-4.161962722471829,2.023423974324576,2.225606062472691,-5.252586345284237,-7.012777476716678,1.2639887411404513,2.685076294509268
2001-04-01,3.8971089156357337,-3.891057499445352,1.1145647953489197,4.49876573882168,-6.190678459471063,-7.0772626793424545,-0.12953832174768598,2.7164592560980205
2001-05-01,3.7744482643531367,-3.7917824038668195,0.969827950852064,4.8750079221361515,-4.307644552629085,-7.346393299494925,-1.9061155348553842,3.7574649995976817
2001-06-01,2.8417372679976416,-4.217439242139525,0.025985701639456793,3.9769408597297735,-7.158073462043355,-8.105692375482114,-2.2884732449830576,4.18229746456842
2001-07-01,2.8471695459209223,-4.684771678390575,-0.17601661808741292,3.5401277917690956,-8.633758636757472,-9.503990379725483,-1.4143987915823026,4.081183826034101
2001-08-01,3.721864223519751,-2.91722288172939,-1.3567691829014878,2.1333775995900193,-8.64745237093773,-9.851403272282946,-2.7864559032438496,4.322906546397775
2001-09-01,2.473708626208599,-3.703147166110688,-2.103867756561549,3.103002636443991,-9.669454307496753,-11.108273639041293,-2.418053992266131,3.8754399804610573
2001-10-01,4.165016572492092,-3.2698234162958837,-2.4306308503336105,4.199434482827943,-9.287054932813042,-11.467656976914839,-2.56976514724318,2.8886372972787884
2001-11-01,2.980048578555544,-2.0352896565156096,-3.7316754338776974,4.7655711676462325,-7.627891504130243,-10.032458065074842,-2.6048389020186082,3.7043798170891202
2001-12-01,4.89375177357263,-2.390096564565605,-2.3175545146439758,5.395871280326286,-8.425521289375325,-10.323732216450985,-2.391874107005976,4.356735451780969
2002-01-01,4.08202309858946,-0.8189577251092555,-2.7889328851125708,5.171957751468442,-10.58123695298846,-11.468474635504233,-0.43487268398088097,5.566799666339895
2002-02-01,4.322814281691232,-0.5553766852683828,-3.168320469397609,5.798776876887669,-10.899947887838453,-11.882525206332936,-1.0062636661025768,5.324389001065903
2002-03-01,3.80443035654862,-1.9559569569199338,-2.553265451508251,5.418601612020315,-12.08027394140877,-12.517998825980076,-1.981731605215828,6.320440297102773
2002-04-01,3.080743853067506,-1.1384054083679482,-2.251370379032805,4.8343614749931065,-14.140932763361157,-14.033124134897022,-2.6975607022375727,5.974500423836804
2002-05-01,2.3699728468241066,0.4515326439238643,-3.361853698778271,5.556376447548161,-14.83687795037443,-11.210090555937853,-2.7998410902924165,5.536836034425911
2002-06-01,3.1799113416675535,1.5810070756222105,-3.0596029582117854,4.612195513970283,-15.132621415079353,-11.088105881223948,-2.4069975104405787,5.259757854072792
2002-07-01,1.9880400654676422,1.7850158625381176,-2.3575197313386136,3.2237541923439044,-16.06235422228809,-11.662752936171858,-4.424912521384673,5.454909334110943
2002-08-01,2.2700278398161773,1.6889020419915057,-1.8462371021098138,3.464161138559133,-16.912368840595132,-9.98334801991584,-4.6905693310625125,7.3373876896495975
2002-09-01,0.4928766930225754,1.109225898494359,-1.96553293099125,5.064569432066672,-15.761491874140004,-10.35371407175933,-5.525792627817899,5.8560912499012865
